Horário, Número de Voos
00:00 - 00:30,39
00:30 - 01:00,35
01:00 - 01:30,39
01:30 - 02:00,46
02:00 - 02:30,52
02:30 - 03:00,64
03:00 - 03:30,66
03:30 - 04:00,57
04:00 - 04:30,47
04:30 - 05:00,30
05:00 - 05:30,24
05:30 - 06:00,42
06:00 - 06:30,62
06:30 - 07:00,72
07:00 - 07:30,64
07:30 - 08:00,54
08:00 - 08:30,53
08:30 - 09:00,49
09:00 - 09:30,44
09:30 - 10:00,30
10:00 - 10:30,20
10:30 - 11:00,18
11:00 - 11:30,33
11:30 - 12:00,43
12:00 - 12:30,64
12:30 - 13:00,80
13:00 - 13:30,71
13:30 - 14:00,61
14:00 - 14:30,55
14:30 - 15:00,52
15:00 - 15:30,68
15:30 - 16:00,72
16:00 - 16:30,66
16:30 - 17:00,67
17:00 - 17:30,58
17:30 - 18:00,74
18:00 - 18:30,74
18:30 - 19:00,80
19:00 - 19:30,79
19:30 - 20:00,71
20:00 - 20:30,76
20:30 - 21:00,80
21:00 - 21:30,76
21:30 - 22:00,77
22:00 - 22:30,68
22:30 - 23:00,56
23:00 - 23:30,53
23:30 - 00:00,46
